0.332169  0.0120754 0.0200033
0.380294  0.00903924 0.0200043
0.381477  0.00029252 0.0200043
0.414545  0.0101377 0.0200052
0.419869  -0.0214013 0.0200054
0.445882  -0.043 0.0200062
0.498788  0.0232185 0.0200083
0.530827  -0.0105505 0.0200099
0.649512  -0.00673823 0.0200186
0.846069  -0.0123688 0.0200506
1.21215  0.0304425 0.0202768
1.53351  0.0293932 0.0210353
1.55438  0.0889836 0.0211216
1.62161  0.0736145 0.0214451
1.64376  0.053783 0.0215684
1.67367  0.096127 0.0217498
2.09755  0.359194 0.0270986
2.28951  0.633534 0.0322035
2.29066  0.615684 0.0322412
2.36484  0.792204 0.0348592
2.56449  1.19718 0.0439885
2.71704  1.69177 0.0531671
2.79381  1.85825 0.0585078
2.81818  2.06949 0.0602985
2.93764  2.48504 0.0696884
3.00672  2.92714 0.0755176
3.10746  3.27626 0.0844009
3.11433  3.38733 0.0850184
3.27835  3.95982 0.0998887
3.56954  5.19657 0.123827
3.92353  5.95781 0.139453
4.18187  6.0394 0.136939
4.58669  4.818 0.111705
4.83322  3.42875 0.0897632
4.97607  2.93509 0.077008
5.35379  1.43059 0.0486642
5.42117  1.29531 0.044769
5.46603  1.08662 0.0423851
5.51554  1.06178 0.0399466
6.05273  0.195336 0.0244617
6.09283  0.171065 0.0239183
6.34383  0.0845298 0.0216416
6.46441  0.0606104 0.0210436
6.87706  -0.00523107 0.0201865
6.89351  0.0649217 0.0201732
6.91892  -0.00120028 0.0201543
6.93183  0.00269453 0.0201455
7.05578  0.0405395 0.0200815
7.21293  -0.0175426 0.0200377
7.36448  0.0113838 0.0200173
8.42407  -0.00130636 0.02
8.61304  0.00261384 0.02
8.78414  -0.0238273 0.02
9.10776  -0.00747786 0.02
9.16719  0.0258708 0.02
9.2259  0.0204971 0.02
9.39518  0.0165836 0.02
9.52686  0.0137399 0.02
9.91612  -0.0182281 0.02
9.93965  0.00892587 0.02
